video_id,Content
ySus5ZS0b94,embeddings and Vector databases are
ySus5ZS0b94,essential if you're building any type of
ySus5ZS0b94,AI product in this video I'll go over
ySus5ZS0b94,what they are and how to use them with
ySus5ZS0b94,open Ai and their apis I'll cover this
ySus5ZS0b94,in three parts I'll explain the theory
ySus5ZS0b94,then the use and finally integration
ySus5ZS0b94,after watching this video you'll be able
ySus5ZS0b94,to create long-term memory for a chat
ySus5ZS0b94,GPT or perform semantic searches based
ySus5ZS0b94,on a huge database of PDFs connected
ySus5ZS0b94,directly to an AI let's start there are
ySus5ZS0b94,two terms I'll cover embeddings and
ySus5ZS0b94,Vector databases they work together I'll
ySus5ZS0b94,begin with embeddings what are
ySus5ZS0b94,embeddings to put it simply an embedding
ySus5ZS0b94,is data like words that have been
ySus5ZS0b94,converted into an array of numbers known
ySus5ZS0b94,as a vector that contains patterns of
ySus5ZS0b94,relationships the combination of these
ySus5ZS0b94,numbers that make up the vector act as a
ySus5ZS0b94,multi-dimensional map to measure
ySus5ZS0b94,similarity for a simple example let me
ySus5ZS0b94,describe a 2d graph the words dog and
ySus5ZS0b94,puppy are often used in similar
ySus5ZS0b94,situations so in a word embedding they
ySus5ZS0b94,would be represented by vectors that are
ySus5ZS0b94,close together well this is a simple 2D
ySus5ZS0b94,example of a single dimension in reality
ySus5ZS0b94,the vector has hundreds of Dimensions
ySus5ZS0b94,that cover the rich multi-dimensional
ySus5ZS0b94,complex relationship between words
ySus5ZS0b94,images can also be turned into vectors
ySus5ZS0b94,too and it's how Google does similar
ySus5ZS0b94,image searches the image sections are
ySus5ZS0b94,broken down into arrays of numbers
ySus5ZS0b94,allowing you to find patterns of
ySus5ZS0b94,similarity for those with closely
ySus5ZS0b94,resembling vectors once an embedding is
ySus5ZS0b94,created it can be stored in a database a
ySus5ZS0b94,database full of these is considered a
ySus5ZS0b94,vector database and can be used in
ySus5ZS0b94,several ways including searching where
ySus5ZS0b94,results are ranked by relevance to a
ySus5ZS0b94,query string or clustering where text
ySus5ZS0b94,strings are grouped by similarity and
ySus5ZS0b94,recommendations where items with related
ySus5ZS0b94,text strings are recommended also
ySus5ZS0b94,classification where text strings are
ySus5ZS0b94,classified by their most similar label
ySus5ZS0b94,for the purpose of this video I'm going
ySus5ZS0b94,to just cover searching since it would
ySus5ZS0b94,be the most commonly used there are many
ySus5ZS0b94,practical ways to do this but open AI
ySus5ZS0b94,has provided a great AI model to
ySus5ZS0b94,specifically create embeddings it does
ySus5ZS0b94,not however provide a way to store them
ySus5ZS0b94,which we will be using a cloud database
ySus5ZS0b94,for later in the video now let's start
ySus5ZS0b94,making an embedding by accessing open AI
ySus5ZS0b94,on the Google page I'm going to browse
ySus5ZS0b94,open AI I'm going to head over to the
ySus5ZS0b94,open AI website where I can create a new
ySus5ZS0b94,account or log into an existing one
ySus5ZS0b94,which is what I'm gonna do it's free if
ySus5ZS0b94,you want to sign up I'm going to log in
ySus5ZS0b94,using my Google credentials and I'll be
ySus5ZS0b94,taken to a few options here between chat
ySus5ZS0b94,gbt Dali and other apis I'm going to
ySus5ZS0b94,head over to their API page and this
ySus5ZS0b94,will take me to the dashboard here I
ySus5ZS0b94,want to start off having a look at the
ySus5ZS0b94,documentation on the embeddings which
ySus5ZS0b94,you can find just over here and I'll
ySus5ZS0b94,also link this in the description but
ySus5ZS0b94,what we're going to start off with is
ySus5ZS0b94,creating some API requests for
ySus5ZS0b94,embeddings themselves in order to do
ySus5ZS0b94,that we're going to head over to the API
ySus5ZS0b94,references page here under embeddings is
ySus5ZS0b94,all the information to create one and
ySus5ZS0b94,it's quite simple it's as easy as doing
ySus5ZS0b94,a single post request with some inputs
ySus5ZS0b94,and getting a response back we could
ySus5ZS0b94,write code to do this or do it inside of
ySus5ZS0b94,a terminal but the easiest way is inside
ySus5ZS0b94,of some GUI software and this is called
ySus5ZS0b94,Postman it's an API platform and it's
ySus5ZS0b94,also the sponsor for today's video
ySus5ZS0b94,Postman is a piece of software and also
